"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2008","686.1","684.9","696.0","682.6","3.28K","0.57%"
"10/06/2008","682.2","720.0","723.9","680.6","7.04K","-5.79%"
"10/04/2008","724.1","724.3","726.0","723.0","0.16K","-0.37%"
"10/03/2008","726.8","750.0","750.0","714.0","5.35K","-3.67%"
"10/01/2008","754.5","764.4","769.0","751.0","4.96K","1.70%"
"09/30/2008","741.9","756.3","756.3","721.0","3.52K","-2.60%"
"09/29/2008","761.7","787.0","788.9","758.2","4.49K","-2.91%"
"09/27/2008","784.5","786.0","788.7","782.0","0.13K","0.10%"
"09/26/2008","783.7","778.1","794.8","778.1","3.35K","0.56%"
"09/25/2008","779.3","785.2","788.0","776.0","4.14K","-0.41%"
"09/24/2008","782.5","780.0","788.5","773.0","5.44K","0.49%"
"09/23/2008","778.7","792.0","801.0","772.0","5.83K","-1.46%"
"09/22/2008","790.2","771.1","793.5","771.1","6.63K","2.05%"
"09/20/2008","774.3","777.0","777.0","773.5","0.19K","0.05%"
"09/19/2008","773.9","780.1","788.0","765.0","6.46K","-1.10%"
"09/18/2008","782.5","795.0","807.0","773.4","6.84K","-2.14%"
"09/17/2008","799.6","829.0","830.0","788.4","8.01K","-3.03%"
"09/16/2008","824.6","839.9","849.7","819.4","7.24K","-2.43%"
"09/15/2008","845.1","885.4","886.0","835.1","8.26K","-4.12%"
"09/13/2008","881.4","878.0","883.0","876.5","0.16K","0.52%"
"09/12/2008","876.8","857.8","890.8","856.1","5.97K","2.60%"
"09/11/2008","854.6","846.0","861.4","841.5","3.91K","0.81%"
"09/10/2008","847.7","840.0","852.6","832.7","4.09K","0.46%"
"09/09/2008","843.8","842.5","844.7","832.0","3.18K","0.32%"
"09/08/2008","841.1","837.5","847.9","829.6","4.82K","0.57%"
"09/06/2008","836.3","838.0","839.0","834.0","0.09K","0.04%"
"09/05/2008","836.0","861.3","863.5","831.1","7.40K","-3.23%"
"09/04/2008","863.9","872.5","890.0","860.1","7.10K","-0.91%"
"09/03/2008","871.8","868.5","877.8","865.2","1.56K","0.14%"
"09/02/2008","870.6","870.0","877.7","847.9","7.69K","-0.14%"
"09/01/2008","871.8","906.0","906.5","864.9","6.70K","-3.47%"
